ID,URL,Source_Domain,Source_Type,Title,Snippet,Publish_Date,Category_Guess,Score,Reason,Status,Collected_By,Added_On,Last_Checked,RepFlag,has_CVE,has_TID,has_IOC,has_MiningTok,has_NFSTok,has_SSHTok,SigFlag,Quality2,Quality4,__SelectedCategory
,https://www.huntress.com/blog/threat-advisory-xmrig-crypto-mining-by-way-of-teamviewer,www.huntress.com,RSS,Threat Advisory: XMRig Cryptomining By Way Of TeamViewer,Huntress has recently seen an uptick in compromised TeamViewer accounts being used to install the XMRig cryptocurrency miner. Dive into the analysis here.,2023-05-30T00:00:00+00:00,Cryptomining on HPC,0.7957,"dom_w=0.75, rec=0.94, cat_hits=3, sig=0",New,,2025-09-05T19:23:41.087281,,1,0,0,0,1,0,0,1,2,1,Cryptomining on HPC
,https://securelist.com/malware-report-q2-2025-pc-iot-statistics/117421/,securelist.com,RSS,IT threat evolution in Q2 2025. Non-mobile statistics,"The report presents statistics for Windows, macOS, IoT, and other threats, including ransomware, miners, local and web-based threats, for Q2 2025.",2025-09-05T09:00:23+00:00,Cryptomining on HPC,0.6633,"dom_w=0.8, rec=1.0, cat_hits=1, sig=0",New,,2025-09-05T18:05:38.440183,,1,0,0,0,0,0,0,0,1,1,Cryptomining on HPC
,https://www.huntress.com/blog/faq-asus-liveupdate-attack-operation-shadowhammer-9fc9c03b2da9,www.huntress.com,RSS,Rapid Response: ASUS Live Update Attack (Operation ShadowHammer),"Periodically, a large scale cybersecurity issue requires “all hands on deck” from the Huntress Team (see WannaCry, Kaseya Cryptominer, GANDGRAB outbreak). The unfolding ASUS Live Update fiasco also happens to be one of those moments. We’ve created this blog is to provide simple answers to a complex supply chain attack affecting global IT Departments.",2019-03-26T05:00:00+00:00,Cryptomining on HPC,0.6006,"dom_w=0.75, rec=0.85, cat_hits=1, sig=0",New,,2025-09-08T23:34:11.263821,,1,0,0,0,0,0,0,0,1,1,Cryptomining on HPC
